Timestamp,Which age group do you belong to?,Gender,"How do you purchase electronic items such as mobile phones, laptops, watches, and TVs?",What factors influence your decision to purchase electronic items from e-commerce websites or offline stores? (Select all that apply),How satisfied are you with the pricing of electronic items on e-commerce websites compared to offline stores?,Which channel do you find more convenient for purchasing electronic items?,How would you rate the overall shopping experience when purchasing electronic items from e-commerce websites compared to offline stores?,How frequently do you purchase electronic gadgets online?,What type of electronic gadgets do you typically purchase online? (Select all that apply),How would you rate your overall satisfaction with the variety of electronic gadgets available on e-commerce website?,What factors influence your decision to purchase electronic gadgets online? (Select all that apply),How likely are you to recommend e-commerce website to others for purchasing electronic gadgets?,What improvements or additions would you like to see in the range of electronic gadgets offered on e-commerce website?,"On a scale of 1 to 10, how satisfied are you with the user experience (navigation, search functionality, checkout process, etc.) when browsing electronic gadgets on website?
 (1 being the lowest/worst score).
",How important are customer reviews and ratings in influencing your decision to purchase electronic gadgets online?,How often do you rely on comparison tools or features to compare different electronic gadgets before making a purchase decision?,Which payment method do you prefer when purchasing electronic gadgets online?,Which e-commerce website do you prefer the most for purchasing electronic gadgets?,During which occasions or festivals do you prefer to purchase electronic items from e-commerce websites or offline stores? (Select all that apply)
03/04/2024 22:02:39,45-54 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Customer service and support",Slightly Higher in Offline Stores,Both Equally Convenient,Slightly Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Discounts and promotions",Likely,.,8,Very Important,Always,Credit/Debit Card,Amazon India,Diwali
03/04/2024 22:03:13,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Immediate availability of the product, Discounts and promotions",Much Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Very Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Very Likely,Stay updated with the latest releases and trending gadgets in the market. Highlight these products on your website to attract tech enthusiasts who are eager to get their hands on the newest technology,9,Moderately Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, New Year, Dussehra"
03/04/2024 22:03:55,18-24 years,Female,Equally from e-commerce websites and offline stores,"Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Neutral,More proper details on its features as it's not physical seen.,6,Somewhat Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, Eid, New Year, Independence Day, Republic Day, Dussehra, Holi"
03/04/2024 22:03:56,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product",About the Same,Both Equally Convenient,Much Better in Offline Stores,Rarely,"Smartphones, Tablets, Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Product reviews and ratings, Easy returns and refunds, Payment options",Neutral,"The quality of the product in online  is damaged when it is delivered sometimes, so those things can be changed.",7,Moderately Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, For birthday's "
03/04/2024 22:05:11,18-24 years,Female,Exclusively from offline stores,"Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,Offline Stores,Much Better in Offline Stores,Never,"Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Likely,Nothing ,9,Very Important,Frequently,Cash on Delivery,Amazon India,"Diwali, New Year, Dussehra"
03/04/2024 22:08:51,18-24 years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Convenience of shopping from home, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Payment options",Likely,Product Recommendations should be more relevant and product ads should be related to my budget eg. if i am a user of mid-budget or low budget avoid showing costly IPhone banners or ads because it won't be relatable to the user your website should recommend products in each category where the budget of the user is well analyzed by your algorithm.,8,Very Important,Frequently,Cash on Delivery,Amazon India,"Diwali, Independence Day, Republic Day, Dussehra"
03/04/2024 22:09:35,18-24 years,Female,Equally from e-commerce websites and offline stores,Trust in the brand or seller,Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Easy returns and refunds",Neutral,Idk,5,Very Important,Occasionally,Net Banking,Amazon India,Diwali
03/04/2024 22:11:21,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Higher in Offline Stores,Offline Stores,Slightly Better in Offline Stores,Rarely,"Smartphones, Laptops",Satisfied,"Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Slightly Likely,idk ur website,5,Very Important,Frequently,"Mobile Wallets (e.g., Paytm, PhonePe)",Amazon India,"Diwali, Christmas, New Year, Independence Day, Republic Day, Dussehra, Holi"
03/04/2024 22:12:12,18-24 years,Female,Exclusively from offline stores,"Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Discounts and promotions",Slightly Higher in Offline Stores,Offline Stores,Slightly Better in Offline Stores,Rarely,"Audio/Visual equipment (headphones, speakers, TVs), ",Neutral,"Product reviews and ratings, Easy returns and refunds, Payment options",Very Likely,nil,4,Somewhat Important,Rarely,UPI (Unified Payments Interface),Amazon India,Republic Day
03/04/2024 22:12:40,18-24 years,Female,Equally from e-commerce websites and offline stores,"Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Rarely,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Likely,Free warranty service ,8,Very Important,Rarely,Cash on Delivery,Amazon India,"Diwali, New Year"
03/04/2024 22:13:26,18-24 years,Female,Equally from e-commerce websites and offline stores,Trust in the brand or seller,About the Same,Both Equally Convenient,About the Same,Occasionally,"Wearable devices (smartwatches, fitness trackers)",Satisfied,"Fast and reliable delivery, Easy returns and refunds",Likely, discounts ,7,Moderately Important,Occasionally,"Mobile Wallets (e.g., Paytm, PhonePe)",Amazon India,Dussehra
03/04/2024 22:32:34,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Offline Stores,Much Better in Offline Stores,Frequently,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Easy returns and refunds, Payment options",Very Likely,Availability of products,7,Extremely Important,Always,UPI (Unified Payments Interface),Flipkart,Diwali
03/04/2024 22:34:00,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Immediate availability of the product, Trust in the brand or seller, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Frequently,"Smartphones, Laptops, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Brand reputation, Product specifications and features, Discounts and promotions",Likely,More discounts,8,Moderately Important,Occasionally,Net Banking,Amazon India,New Year
03/04/2024 22:43:55,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Customer service and support",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Rarely,"Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Brand reputation, Fast and reliable delivery",Likely,NA,9,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Republic Day, Holi"
03/04/2024 22:48:35,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Easy returns and refunds, Payment options",Slightly Likely,Better quality and assurance of original product,5,Extremely Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, New Year"
03/04/2024 22:52:13,18-24 years,Female,Exclusively from e-commerce websites,"Price competitiveness, Convenience of shopping from home, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Rarely,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Likely,None,9,Very Important,Always,Credit/Debit Card,Amazon India,"Diwali, New Year"
03/04/2024 22:57:32,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Convenience of shopping from home, Ability to physically inspect and test the product, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,Both Equally Convenient,About the Same,Rarely,"Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Product reviews and ratings, Brand reputation, Fast and reliable delivery",Slightly Likely,Nothing much,8,Moderately Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year"
03/04/2024 23:10:16,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Rarely,Smartphones,Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Easy returns and refunds",Not Likely at All,"Many e commerce websites tend to sell rejected or returned pieces from the main offline outlets of that brand, or even sell old manufacture date items. Hence, I’d like to be able to see the date of manufacture and origin of the pieces sold.",6,Very Important,Occasionally,UPI (Unified Payments Interface),Flipkart,Depending on necessity 
03/04/2024 23:13:00,18-24 years,Female,Exclusively from offline stores,"Price competitiveness, Ability to physically inspect and test the product, Discounts and promotions",About the Same,Offline Stores,About the Same,Rarely,"Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Discounts and promotions, Fast and reliable delivery, Payment options",Neutral,more info,8,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day, Republic Day, Dussehra"
03/04/2024 23:47:15,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller",About the Same,Both Equally Convenient,Slightly Better in Offline Stores,Rarely,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers)",Satisfied,"Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery",Neutral,Inspection and current situation should be shown in the website which improves reliability ,8,Moderately Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Dussehra"
04/04/2024 00:01:52,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home",Slightly Lower on E-commerce Websites,Both Equally Convenient,About the Same,Occasionally,"Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings",Likely,Nothing as of now,9,Very Important,Frequently,Cash on Delivery,Flipkart,"Diwali, Christmas, New Year, Independence Day, Republic Day"
04/04/2024 00:21:57,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Offline Stores,Slightly Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers)",Neutral,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Slightly Likely,Everything needs to be improved . The guarantee that we would receive the one we ordered with  better quality need to be ensured which most of the e-commerce websites are lacking in.,5,Very Important,Always,UPI (Unified Payments Interface),Amazon India,"Not necessarily during some occasion. When there is a need to buy , will buy "
04/04/2024 06:56:55,45-54 years,Male,Exclusively from e-commerce websites,"Price competitiveness, Convenience of shopping from home, Trust in the brand or seller, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better in Offline Stores,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features",Slightly Likely,More videos to explain key features,1,Extremely Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Independence Day, Birthdays "
04/04/2024 07:31:41,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Convenience of shopping from home, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Rarely,"Wearable devices (smartwatches, fitness trackers)",Neutral,"Product reviews and ratings, Product specifications and features, Discounts and promotions",Likely,-,7,Very Important,Frequently,"Mobile Wallets (e.g., Paytm, PhonePe)",Snapdeal,Republic Day
04/04/2024 08:46:25,25-34 years,Female,Equally from e-commerce websites and offline stores,"Ability to physically inspect and test the product, Immediate availability of the product, Discounts and promotions",Much Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,Damage free,8,Extremely Important,Occasionally,Credit/Debit Card,Amazon India,"Christmas, New Year"
04/04/2024 11:29:58,18-24 years,Female,Equally from e-commerce websites and offline stores,"Product assortment and availability, Convenience of shopping from home, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,Offline Stores,About the Same,Rarely,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Likely,.,8,Moderately Important,Occasionally,Credit/Debit Card,Amazon India,"Diwali, Christmas, Dussehra"
04/04/2024 11:51:57,45-54 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Convenience of shopping from home, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Occasionally,"Smartphones, Tablets, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Brand reputation, Product specifications and features, Easy returns and refunds",Likely,3D representation ,8,Somewhat Important,Occasionally,Net Banking,Amazon India,Diwali
04/04/2024 14:00:09,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Rarely,"Laptops, Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery",Neutral,Specific improvements (reach)on wearable technologies ,9,Extremely Important,Occasionally,Cash on Delivery,Amazon India,"Christmas, New Year, Dussehra"
04/04/2024 14:18:39,18-24 years,Male,Exclusively from e-commerce websites,"Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Trust in the brand or seller",Slightly Higher in Offline Stores,E-commerce Websites,About the Same,Rarely,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions, Easy returns and refunds",Slightly Likely,none,8,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day, Republic Day, Dussehra"
04/04/2024 14:19:01,18-24 years,Female,Equally from e-commerce websites and offline stores,"Ability to physically inspect and test the product, Trust in the brand or seller, Discounts and promotions",Much Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Easy returns and refunds, Payment options",Likely,would be nice if we could have more description of the gadget with more real time videos and photos that make it look trustable,6,Extremely Important,Always,Credit/Debit Card,Amazon India,"Diwali, New Year, Independence Day, Republic Day, Dussehra"
04/04/2024 14:19:27,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Likely,"More discounts, better features description and comparison of products",8,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Christmas, Independence Day, Republic Day, Dussehra"
04/04/2024 14:20:45,18-24 years,Female,Exclusively from offline stores,Immediate availability of the product,Slightly Higher in Offline Stores,Offline Stores,Slightly Better in Offline Stores,Rarely,"Smartphones, Laptops",Satisfied,Price competitiveness,Neutral,nothing much,7,Moderately Important,Rarely,Cash on Delivery,Amazon India,whenever i need a gaget i buy it
04/04/2024 14:23:14,18-24 years,Male,Exclusively from e-commerce websites,"Price competitiveness, Product assortment and availability, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Always,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Very Dissatisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Very Likely,No robo calls for informing on promotions,9,Moderately Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, Eid, New Year, Independence Day, Republic Day, Dussehra, Holi"
04/04/2024 14:30:19,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Trust in the brand or seller, Discounts and promotions",Slightly Higher in Offline Stores,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Easy returns and refunds",Likely,3D view of the products,7,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Independence Day, Republic Day, Dussehra"
04/04/2024 14:30:45,18-24 years,Male,Exclusively from offline stores,"Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support",About the Same,Offline Stores,Much Better in Offline Stores,Rarely,"Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Discounts and promotions, Fast and reliable delivery",Neutral,none,8,Extremely Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Independence Day, Republic Day, Holi"
